Date,Semester,Meeting Type,Appointment Start Time,Appointment End Time,Scheduled Duration in Minutes,Actual Duration in Minutes,Provider,Appointment Type,Appointment Location Name,Appointment Location Type,Reason,Attended Session,Gender,Race/Ethnicity,First Generation Student,Class Level,Term GPA,Primary Major,College,Services
2023-10-10,F23,Scheduled,11:30:00,12:00:00,30,,Coach M,Learning Center Academic Coaching,Zoom,ONLINE,Building good study habits,Cancelled,Male,WH,No,Freshman,2.5 - 2.99,ECED_BSED,College of Education and Human Development,Learning Center Academic Coaching
2023-11-01,F23,Scheduled,15:30:00,16:00:00,30,49.2,Coach O,Academic Coaching: Level II,Zoom,ONLINE,Building good study habits,yes,Female,WH,No,Senior,3.0 - 3.49,HIST_BA,College of Arts and Science,"Learning Center Academic Coaching, Learning Center Academic Coaching: Level II"
2023-12-08,F23,Scheduled,10:30:00,11:00:00,30,,Coach E,Learning Center Academic Coaching,Learning Center 100,OFFICE,Building good study habits,Cancelled,Female,HI,Yes,Sophomore,3.5 - 4.0,HLTH_BS,College of Health Sciences,Learning Center Academic Coaching
2023-09-10,F23,Scheduled,12:00:00,12:30:00,30,39.1,Coach I,Learning Center Academic Coaching,Zoom,ONLINE,Building good study habits,yes,Female,WH,Yes,Freshman,3.5 - 4.0,POLS_BA,College of Arts and Science,Learning Center Academic Coaching
2023-11-09,F23,Scheduled,12:00:00,12:30:00,30,45.0,Coach E,Learning Center Academic Coaching,Student Success Center,OFFICE,Note-taking,yes,Female,WH,No,Senior,3.0 - 3.49,SPED_BS,College of Education and Human Development,Learning Center Academic Coaching
2023-09-18,F23,Scheduled,16:30:00,17:00:00,30,33.6,Coach A,Learning Center Academic Coaching,Student Success Center Main Floor,OFFICE,Setting goals,yes,Female,BL WH,No,Senior,3.5 - 4.0,ENGL_BA,College of Arts and Science,Learning Center Academic Coaching
2023-08-30,F23,Scheduled,11:30:00,12:00:00,30,65.4,Coach A,Learning Center: First Level II Academic Coaching Appointment,Student Success Center,OFFICE,Building good study habits,yes,Female,WH,No,Freshman,3.0 - 3.49,UNDEC_JOUR,School of Journalism,"Learning Center Academic Coaching, Learning Center Academic Coaching: Level II"
2023-12-03,F23,Scheduled,10:00:00,10:30:00,30,38.6,Coach A,Learning Center Academic Coaching,Student Success Center,OFFICE,Test-taking and test anxiety,yes,Female,HI WH,No,Freshman,3.0 - 3.49,HLTH_BS,College of Health Sciences,Learning Center Academic Coaching
2023-11-24,F23,Scheduled,10:30:00,11:00:00,30,41.4,Coach H,Learning Center Academic Coaching,Learning Center 100,OFFICE,Self-care and wellness,yes,Female,WH,No,Sophomore,3.5 - 4.0,BRDJ_BS,School of Journalism,Learning Center Academic Coaching
2023-11-04,F23,Scheduled,14:30:00,15:00:00,30,38.6,Coach Q,Learning Center Academic Coaching,Zoom,ONLINE,Setting goals,yes,Female,WH,No,Senior,Under 2.0,ANSCI_BS,College of Veterinary Medicine,Learning Center Academic Coaching
2023-11-05,F23,Scheduled,12:00:00,12:30:00,30,60.7,Coach M,Learning Center Academic Coaching,Student Success Center Main Floor,OFFICE,Building good study habits,yes,Female,WH,No,Senior,Under 2.0,SPED_BS,College of Education and Human Development,Learning Center Academic Coaching
2023-11-11,F23,Scheduled,08:00:00,08:30:00,30,43.9,Coach F,Learning Center Academic Coaching,Student Success Center,OFFICE,Building good study habits,yes,Female,HI WH,Yes,Graduate Student,Under 2.0,BIOSCI_BS,College of Arts and Science,Learning Center Academic Coaching
2023-08-22,F23,Scheduled,13:30:00,14:00:00,30,34.5,Coach A,Learning Center Academic Coaching,SSC M124,ELSEWHERE,Time management,yes,Female,HI WH,No,Freshman,2.0 - 2.49,PRE_VET,College of Veterinary Medicine,Learning Center Academic Coaching
2023-11-27,F23,Scheduled,09:00:00,09:30:00,30,51.4,Coach G,Learning Center Academic Coaching,Student Success Center,OFFICE,Building good study habits,yes,Female,WH,No,Sophomore,3.0 - 3.49,ANSCI_BS,College of Veterinary Medicine,Learning Center Academic Coaching
2023-10-24,F23,Scheduled,12:30:00,13:00:00,30,33.0,Coach E,Learning Center Academic Coaching,Zoom,ONLINE,Building good study habits,yes,Male,WH,No,Junior,2.5 - 2.99,HIST_BA,College of Arts and Science,Learning Center Academic Coaching
2023-09-29,F23,Scheduled,09:00:00,09:30:00,30,45.9,Coach R,Learning Center Academic Coaching,Student Success Center 100,OFFICE,Exam preparation,yes,Female,HI WH,No,Senior,2.0 - 2.49,PSYCH_BA,College of Arts and Science,Learning Center Academic Coaching
2023-11-16,F23,Scheduled,09:30:00,10:00:00,30,26.4,Coach J,Learning Center Academic Coaching,Zoom,ONLINE,Building good study habits,yes,Male,BL WH,No,Sophomore,2.0 - 2.49,AGHG_BS,"College of Agriculture, Food & Natural Resources",Learning Center Academic Coaching
2023-11-06,F23,Scheduled,08:30:00,09:00:00,30,32.0,Coach I,Learning Center Academic Coaching,Student Success Center 100,OFFICE,Building good study habits,yes,Male,WH,No,Junior,2.0 - 2.49,ACCTCY_BSBA,Trulaske College of Business,Learning Center Academic Coaching
2023-10-04,F23,Scheduled,16:30:00,17:00:00,30,,Coach B,Learning Center Academic Coaching,Student Success Center 100,OFFICE,Memory techniques,Cancelled,Female,WH,No,Junior,2.0 - 2.49,AGHG_BS,"College of Agriculture, Food & Natural Resources",Learning Center Academic Coaching
2023-12-14,F23,Scheduled,08:30:00,09:00:00,30,,Coach L,Academic Coaching: Level II,Student Success Center Main Floor,OFFICE,Exam preparation,Cancelled,Female,WH,No,Sophomore,2.0 - 2.49,MGMT_BSBA,Trulaske College of Business,"Learning Center Academic Coaching, Learning Center Academic Coaching: Level II"
2023-10-23,F23,Scheduled,15:30:00,16:00:00,30,,Coach A,Learning Center Academic Coaching,Zoom,ONLINE,Time management,no,Female,HI,No,Freshman,2.5 - 2.99,ENGL_BA,College of Arts and Science,Learning Center Academic Coaching
2023-11-21,F23,Scheduled,09:00:00,09:30:00,30,45.8,Coach K,Learning Center Academic Coaching,Zoom,ONLINE,Building good study habits,yes,Female,WH,No,Freshman,2.5 - 2.99,PLSC_BS,"College of Agriculture, Food & Natural Resources",Learning Center Academic Coaching
2023-10-09,F23,Scheduled,10:00:00,10:30:00,30,68.6,Coach P,Academic Coaching: Level II,Student Success Center,OFFICE,Exam preparation,yes,Female,WH,No,Freshman,2.5 - 2.99,UNDEC_BUS,Trulaske College of Business,"Learning Center Academic Coaching, Learning Center Academic Coaching: Level II"
2023-10-01,F23,Scheduled,11:30:00,12:00:00,30,,Coach P,Academic Coaching: Level II,Student Success Center Main Floor,OFFICE,Building good study habits,Cancelled,Female,AS,No,Sophomore,3.5 - 4.0,MKTG_BSBA,Trulaske College of Business,"Learning Center Academic Coaching, Learning Center Academic Coaching: Level II"
2023-12-14,F23,Scheduled,08:00:00,08:30:00,30,45.5,Coach B,Learning Center Academic Coaching,Student Success Center,OFFICE,How to use technology effectively,yes,Male,WH,Yes,Sophomore,3.0 - 3.49,PLSC_BS,"College of Agriculture, Food & Natural Resources",Learning Center Academic Coaching
2023-12-07,F23,Scheduled,12:30:00,13:00:00,30,43.0,Coach A,Learning Center Academic Coaching,Learning Center 100,OFFICE,Building good study habits,yes,Female,WH,No,Senior,2.5 - 2.99,CHEM_BS,College of Arts and Science,Learning Center Academic Coaching
2023-11-08,F23,Scheduled,11:30:00,12:00:00,30,41.3,Coach D,Learning Center Academic Coaching,Learning Center 100,OFFICE,How to read textbooks,yes,Male,BL WH,Yes,Senior,3.0 - 3.49,ECED_BSED,College of Education and Human Development,Learning Center Academic Coaching
2023-11-30,F23,Scheduled,11:00:00,11:30:00,30,,Coach A,Academic Coaching: Level II,Learning Center 100,OFFICE,Building good study habits,Cancelled,Female,HI,No,Senior,2.0 - 2.49,CPEG_BS,College of Engineering,"Learning Center Academic Coaching, Learning Center Academic Coaching: Level II"
2023-08-22,F23,Scheduled,13:00:00,13:30:00,30,30.7,Coach K,Learning Center Academic Coaching,Zoom,ONLINE,Self-care and wellness,yes,Female,AS WH,No,Senior,Under 2.0,HIST_BA,College of Arts and Science,Learning Center Academic Coaching
2023-09-20,F23,Scheduled,14:30:00,15:00:00,30,37.5,Coach Q,Learning Center Academic Coaching,Student Success Center 100,OFFICE,Note-taking,yes,Female,WH,No,Graduate Student,3.5 - 4.0,POLS_BA,College of Arts and Science,Learning Center Academic Coaching
2023-10-26,F23,Scheduled,14:30:00,15:00:00,30,,Coach E,Learning Center Academic Coaching,SSC M124,ELSEWHERE,Building good study habits,no,Male,HI WH,No,Senior,2.0 - 2.49,CPEG_BS,College of Engineering,Learning Center Academic Coaching
2023-08-30,F23,Scheduled,08:30:00,09:00:00,30,39.9,Coach I,Learning Center Academic Coaching,Zoom,ONLINE,Building good study habits,yes,Male,AS WH,Yes,Junior,3.0 - 3.49,AGHG_BS,"College of Agriculture, Food & Natural Resources",Learning Center Academic Coaching
2023-11-18,F23,Scheduled,13:30:00,14:00:00,30,53.5,Coach E,Learning Center Academic Coaching,Zoom,ONLINE,Building good study habits,yes,Female,WH,No,Senior,3.0 - 3.49,CVEN_BSCIE,College of Engineering,Learning Center Academic Coaching
2023-09-09,F23,Scheduled,09:00:00,09:30:00,30,,Coach E,Learning Center Academic Coaching,Zoom,ONLINE,Time management,Cancelled,Female,WH,Yes,Freshman,3.0 - 3.49,UNDEC,Undecided / Other,Learning Center Academic Coaching
2023-09-29,F23,Scheduled,15:30:00,16:00:00,30,,Coach N,Learning Center Academic Coaching,Student Success Center,OFFICE,Building good study habits,no,Female,WH,No,Freshman,2.0 - 2.49,KINES_BS,College of Education and Human Development,Learning Center Academic Coaching
2023-08-26,F23,Scheduled,11:30:00,12:00:00,30,,Coach A,Learning Center Academic Coaching,Zoom,ONLINE,How to use technology effectively,Cancelled,Female,WH,No,Graduate Student,3.0 - 3.49,MGMT_BSBA,Trulaske College of Business,Learning Center Academic Coaching
2023-12-03,F23,Scheduled,10:00:00,10:30:00,30,47.1,Coach Q,Learning Center Academic Coaching,Learning Center 100,OFFICE,Exam preparation,yes,Female,BL,No,Senior,2.5 - 2.99,ACCTCY_BSBA,Trulaske College of Business,Learning Center Academic Coaching
2023-11-30,F23,Scheduled,10:00:00,10:30:00,30,28.1,Coach A,Learning Center Academic Coaching,Student Success Center 100,OFFICE,Building good study habits,yes,Male,HI WH,No,Junior,3.0 - 3.49,PLSC_BS,"College of Agriculture, Food & Natural Resources",Learning Center Academic Coaching
2023-11-11,F23,Scheduled,09:30:00,10:00:00,30,64.9,Coach P,Academic Coaching: Level II,Zoom,ONLINE,Building good study habits,yes,Male,WH,No,Freshman,2.0 - 2.49,ACCTCY_BSBA,Trulaske College of Business,"Learning Center Academic Coaching, Learning Center Academic Coaching: Level II"
2023-09-06,F23,Scheduled,09:30:00,10:00:00,30,,Coach A,Learning Center Academic Coaching,Learning Center 100,OFFICE,Building good study habits,no,Female,WH,Yes,Sophomore,3.5 - 4.0,ANSC_BS,"College of Agriculture, Food & Natural Resources",Learning Center Academic Coaching
2023-10-23,F23,Scheduled,08:30:00,09:00:00,30,58.5,Coach I,Academic Coaching: Level II,Zoom,ONLINE,Time management,yes,Male,WH,No,Senior,2.0 - 2.49,MAGA_BS,School of Journalism,"Learning Center Academic Coaching, Learning Center Academic Coaching: Level II"
2023-09-09,F23,Scheduled,08:00:00,08:30:00,30,55.9,Coach I,Academic Coaching: Level II,Learning Center 100,OFFICE,Time management,yes,Female,WH,Yes,Freshman,2.0 - 2.49,CVEN_BSCIE,College of Engineering,"Learning Center Academic Coaching, Learning Center Academic Coaching: Level II"
2023-09-07,F23,Scheduled,14:00:00,14:30:00,30,49.5,Coach I,Learning Center Academic Coaching,Student Success Center 100,OFFICE,Test-taking and test anxiety,yes,Male,HI,No,Freshman,3.0 - 3.49,PRE_VET,College of Veterinary Medicine,Learning Center Academic Coaching
2023-11-29,F23,Scheduled,13:30:00,14:00:00,30,,Coach G,Academic Coaching: Level II,SSC 100,ELSEWHERE,Time management,Cancelled,Female,AS WH,No,Senior,Under 2.0,HIST_BA,College of Arts and Science,"Learning Center Academic Coaching, Learning Center Academic Coaching: Level II"
2023-08-24,F23,Scheduled,13:00:00,13:30:00,30,53.3,Coach A,Learning Center Academic Coaching,Student Success Center Main Floor,OFFICE,Building good study habits,yes,Female,BL WH,No,Senior,3.5 - 4.0,ACCTCY_BSBA,Trulaske College of Business,Learning Center Academic Coaching
2023-09-19,F23,Scheduled,10:00:00,10:30:00,30,70.4,Coach B,Learning Center: First Level II Academic Coaching Appointment,Zoom,ONLINE,Building good study habits,yes,Female,BL WH,No,Junior,3.0 - 3.49,FSHN_BS,"College of Agriculture, Food & Natural Resources","Learning Center Academic Coaching, Learning Center Academic Coaching: Level II"
2023-09-18,F23,Scheduled,14:30:00,15:00:00,30,,Coach P,Academic Coaching: Level II,Student Success Center 100,OFFICE,Building good study habits,no,Female,HI WH,No,Sophomore,2.5 - 2.99,HLTHSC_BHS,College of Health Sciences,"Learning Center Academic Coaching, Learning Center Academic Coaching: Level II"
2023-12-15,F23,Scheduled,08:30:00,09:00:00,30,,Coach Q,Learning Center Academic Coaching,Zoom,ONLINE,Exam preparation,Cancelled,Male,HI WH,No,Freshman,3.0 - 3.49,MGMT_BSBA,Trulaske College of Business,Learning Center Academic Coaching
2023-10-23,F23,Scheduled,16:30:00,17:00:00,30,,Coach B,Learning Center Academic Coaching,Student Success Center Main Floor,ELSEWHERE,Building good study habits,no,Male,BL WH,No,Freshman,3.5 - 4.0,FSHN_BS,"College of Agriculture, Food & Natural Resources",Learning Center Academic Coaching
2023-08-21,F23,Scheduled,13:00:00,13:30:00,30,36.4,Coach L,Learning Center Academic Coaching,Student Success Center Main Floor,OFFICE,Note-taking,yes,Female,WH,No,Senior,2.0 - 2.49,MAGA_BS,School of Journalism,Learning Center Academic Coaching
2023-08-23,F23,Scheduled,10:00:00,10:30:00,30,,Coach K,Academic Coaching: Level II,Student Success Center Main Floor,OFFICE,How to use technology effectively,Cancelled,Female,WH,No,Sophomore,2.5 - 2.99,PLSC_BS,"College of Agriculture, Food & Natural Resources","Learning Center Academic Coaching, Learning Center Academic Coaching: Level II"
2023-09-02,F23,Scheduled,13:30:00,14:00:00,30,,Coach C,Learning Center Academic Coaching,Student Success Center 100,OFFICE,Memory techniques,no,Male,BL WH,Yes,Junior,2.5 - 2.99,HIST_BA,College of Arts and Science,Learning Center Academic Coaching
2023-09-30,F23,Scheduled,10:30:00,11:00:00,30,41.2,Coach B,Learning Center Academic Coaching,Student Success Center 100,OFFICE,Time management,yes,Female,AS WH,No,Freshman,3.5 - 4.0,HDFS_BS,College of Education and Human Development,Learning Center Academic Coaching
2023-08-21,F23,Scheduled,14:00:00,14:30:00,30,65.0,Coach B,Academic Coaching: Level II,Student Success Center Main Floor,OFFICE,Other: please describe in comments,yes,Male,WH,No,Freshman,3.0 - 3.49,CVEN_BSCIE,College of Engineering,"Learning Center Academic Coaching, Learning Center Academic Coaching: Level II"
2023-10-23,F23,Scheduled,10:30:00,11:00:00,30,70.8,Coach K,Learning Center: First Level II Academic Coaching Appointment,Student Success Center 100,OFFICE,Time management,yes,Female,BL WH,No,Senior,3.0 - 3.49,ANSCI_BS,College of Veterinary Medicine,"Learning Center Academic Coaching, Learning Center Academic Coaching: Level II"
2023-12-04,F23,Scheduled,13:30:00,14:00:00,30,39.7,Coach A,Learning Center Academic Coaching,Student Success Center Main Floor,ELSEWHERE,Building good study habits,yes,Male,WH,Yes,Freshman,3.5 - 4.0,UNDEC_BUS,Trulaske College of Business,Learning Center Academic Coaching
2023-08-21,F23,Scheduled,08:30:00,09:00:00,30,42.3,Coach E,Learning Center Academic Coaching,Learning Center 100,OFFICE,How to use technology effectively,yes,Male,BL WH,Yes,Freshman,2.0 - 2.49,BRDJ_BS,School of Journalism,Learning Center Academic Coaching
2023-10-29,F23,Scheduled,14:00:00,14:30:00,30,52.0,Coach M,Academic Coaching: Level II,Student Success Center 100,OFFICE,Building good study habits,yes,Female,WH,Yes,Junior,2.0 - 2.49,ACCTCY_BSBA,Trulaske College of Business,"Learning Center Academic Coaching, Learning Center Academic Coaching: Level II"
2023-09-30,F23,Scheduled,12:00:00,12:30:00,30,,Coach A,Learning Center Academic Coaching,Student Success Center 100,OFFICE,Overcoming procrastination,Cancelled,Female,WH,No,Freshman,2.5 - 2.99,HIST_BA,College of Arts and Science,Learning Center Academic Coaching
2023-09-01,F23,Scheduled,13:30:00,14:00:00,30,33.2,Coach J,Learning Center Academic Coaching,SSC 100,ELSEWHERE,How to use technology effectively,yes,Female,BL WH,No,Senior,2.5 - 2.99,BIOSCI_BS,College of Arts and Science,Learning Center Academic Coaching
2023-09-02,F23,Scheduled,13:00:00,13:30:00,30,,Coach R,Learning Center Academic Coaching,Learning Center 100,OFFICE,Note-taking,no,Female,WH,Yes,Freshman,3.0 - 3.49,ANSC_BS,"College of Agriculture, Food & Natural Resources",Learning Center Academic Coaching
2023-09-26,F23,Scheduled,12:00:00,12:30:00,30,,Coach A,Learning Center Academic Coaching,Learning Center 100,OFFICE,Exam preparation,Cancelled,Female,WH,No,Sophomore,2.0 - 2.49,MGMT_BSBA,Trulaske College of Business,Learning Center Academic Coaching
2023-10-14,F23,Scheduled,09:30:00,10:00:00,30,69.3,Coach M,Academic Coaching: Level II,Learning Center 100,OFFICE,Building good study habits,yes,Female,WH,No,Sophomore,Under 2.0,FSHN_BS,"College of Agriculture, Food & Natural Resources","Learning Center Academic Coaching, Learning Center Academic Coaching: Level II"
2023-08-31,F23,Scheduled,15:00:00,15:30:00,30,56.2,Coach C,Learning Center Academic Coaching,Learning Center 100,OFFICE,Exam preparation,yes,Male,BL WH,No,Sophomore,2.0 - 2.49,AGHG_BS,"College of Agriculture, Food & Natural Resources",Learning Center Academic Coaching
2023-10-09,F23,Scheduled,10:30:00,11:00:00,30,61.4,Coach O,Academic Coaching: Level II,Zoom,ONLINE,Building good study habits,yes,Female,BL WH,Yes,Junior,3.5 - 4.0,ANSCI_BS,College of Veterinary Medicine,"Learning Center Academic Coaching, Learning Center Academic Coaching: Level II"
2023-12-06,F23,Scheduled,12:00:00,12:30:00,30,53.0,Coach B,Learning Center Academic Coaching,Student Success Center,OFFICE,Building good study habits,yes,Male,BL,Yes,Freshman,Under 2.0,UNDEC,Undecided / Other,Learning Center Academic Coaching
2023-11-04,F23,Scheduled,11:00:00,11:30:00,30,47.3,Coach M,Learning Center Academic Coaching,SSC M124,ELSEWHERE,Time management,yes,Female,WH,No,Junior,2.0 - 2.49,PSYCH_BA,College of Arts and Science,Learning Center Academic Coaching
2023-12-11,F23,Scheduled,11:30:00,12:00:00,30,,Coach C,Learning Center Academic Coaching,Learning Center 100,OFFICE,Overcoming procrastination,Cancelled,Female,WH,No,Junior,Under 2.0,ANSC_BS,"College of Agriculture, Food & Natural Resources",Learning Center Academic Coaching
2023-12-01,F23,Scheduled,10:00:00,10:30:00,30,38.2,Coach Q,Learning Center Academic Coaching,SSC 100,ELSEWHERE,Building good study habits,yes,Female,WH,No,Freshman,3.5 - 4.0,SPED_BS,College of Education and Human Development,Learning Center Academic Coaching
