student_id,semester,course_section,age,class_level,first_gen_student,major_type,prior_gpa,study_hours_per_week,attendance_rate,part_time_work_hours,tutoring_sessions,extracurricular_activities,sleep_hours_per_night,anxiety_score,final_score,letter_grade,passed
STU0085,S24,A,26,Sophomore,No,STEM,2.33,12.4,0.593,12.6,4,4,,8.0,71.2,C,Pass
STU0086,S24,B,24,Freshman,No,Non-STEM,2.55,7.7,0.745,0.0,7,4,6.4,8.0,63.7,D,Pass
STU0087,F24,A,19,Senior,No,STEM,3.54,4.9,0.82,0.0,2,1,7.0,5.0,71.2,C,Pass
STU0088,F24,C,22,Freshman,Yes,STEM,3.13,7.0,0.882,9.2,2,1,4.0,7.0,66.1,D,Pass
STU0089,S24,A,23,Senior,No,STEM,2.53,10.4,0.811,3.9,6,1,4.4,5.0,81.4,B,Pass
STU0090,S24,C,24,Sophomore,No,STEM,3.26,3.0,0.967,0.0,2,1,7.6,3.0,76.4,C,Pass
STU0091,F23,A,22,Freshman,No,Non-STEM,2.97,19.2,0.623,0.0,3,1,8.1,4.0,86.6,B,Pass
STU0092,S25,A,21,Junior,Yes,Non-STEM,3.58,10.3,0.664,0.0,1,2,5.6,4.0,86.0,B,Pass
STU0093,F23,C,26,Senior,No,Non-STEM,2.41,11.1,0.763,13.9,6,2,6.5,7.0,63.0,D,Pass
STU0094,F24,B,21,Senior,Yes,Non-STEM,2.67,12.4,0.781,3.5,2,3,7.2,8.0,80.4,B,Pass
STU0095,S24,B,25,Freshman,Yes,Non-STEM,2.63,18.1,0.812,0.8,3,0,7.7,5.0,75.8,C,Pass
STU0096,F24,A,26,Freshman,Yes,Non-STEM,1.88,9.4,0.988,14.1,5,2,4.2,9.0,73.5,C,Pass
STU0097,F23,B,23,Sophomore,No,STEM,3.11,12.9,0.758,0.0,3,3,5.6,4.0,81.0,B,Pass
STU0098,F24,B,20,Sophomore,Yes,Non-STEM,3.08,5.0,0.578,6.2,2,3,6.4,5.0,61.6,D,Pass
STU0099,F24,C,24,Junior,No,Non-STEM,2.9,23.0,0.808,5.4,5,4,7.7,3.0,77.5,C,Pass
STU0100,S25,C,22,Freshman,Yes,Non-STEM,2.74,9.0,0.727,0.0,6,3,10.0,4.0,63.5,D,Pass
STU0101,F24,B,30,Senior,No,Non-STEM,1.91,5.0,0.942,0.0,3,4,6.5,7.0,71.7,C,Pass
STU0102,F23,B,26,Sophomore,Yes,Non-STEM,2.61,6.0,0.779,40.0,3,1,5.0,9.0,59.7,F,Fail
STU0103,S25,B,25,Junior,Yes,STEM,2.66,1.5,0.675,2.3,2,2,7.3,7.0,55.4,F,Fail
STU0104,F24,B,27,Sophomore,No,STEM,2.34,6.0,0.651,0.0,3,0,8.5,6.0,69.8,D,Pass
STU0105,F23,A,18,Sophomore,No,Non-STEM,2.79,0.8,0.817,6.6,3,0,6.9,5.0,68.1,D,Pass
STU0106,S24,A,22,Senior,Yes,Non-STEM,3.18,13.5,0.785,7.1,4,1,5.6,9.0,71.2,C,Pass
STU0107,S25,A,27,Sophomore,Yes,Non-STEM,4.0,10.8,0.794,0.0,2,0,8.0,4.0,96.3,A,Pass
STU0108,F24,A,21,Senior,Yes,STEM,3.02,3.9,0.697,0.0,1,1,7.7,,74.5,C,Pass
STU0109,F24,A,19,Senior,No,STEM,3.08,8.0,0.853,0.0,1,1,5.5,4.0,77.6,C,Pass
STU0110,S25,B,23,Junior,No,Non-STEM,2.85,8.2,0.939,9.4,3,0,7.3,7.0,71.0,C,Pass
STU0111,F23,C,20,Sophomore,No,Non-STEM,1.56,3.3,0.546,0.0,5,4,8.1,8.0,48.3,F,Fail
STU0112,F24,B,20,Freshman,Yes,Non-STEM,2.88,7.1,0.664,0.0,2,0,8.3,5.0,66.6,D,Pass
STU0113,F23,A,22,Freshman,No,STEM,2.94,8.4,0.766,1.1,5,3,6.7,2.0,84.9,B,Pass
STU0114,S25,A,19,Freshman,Yes,STEM,4.0,6.9,0.929,15.0,3,1,6.3,5.0,80.2,B,Pass
STU0115,F24,B,22,Freshman,Yes,Non-STEM,2.77,5.0,0.951,0.0,2,4,8.4,7.0,73.2,C,Pass
STU0116,S24,A,23,Freshman,No,STEM,3.11,3.8,0.699,0.0,4,4,5.2,6.0,64.0,D,Pass
STU0117,S24,B,30,Freshman,No,Non-STEM,2.88,6.8,0.963,5.9,2,2,7.4,6.0,67.3,D,Pass
STU0118,S24,C,21,Sophomore,Yes,Non-STEM,2.08,5.4,0.961,6.4,5,2,5.0,4.0,67.5,D,Pass
STU0119,S25,A,22,Sophomore,No,STEM,3.7,11.9,0.881,7.6,1,0,8.2,4.0,87.5,B,Pass
STU0120,F24,A,25,Freshman,No,Non-STEM,3.43,18.8,0.804,0.0,1,5,6.5,5.0,96.3,A,Pass
STU0121,S25,B,21,Freshman,No,Non-STEM,3.45,14.6,0.794,1.3,4,3,8.4,5.0,89.7,B,Pass
STU0122,F24,C,21,Junior,No,STEM,2.26,8.6,0.791,4.4,3,4,7.4,8.0,64.4,D,Pass
STU0123,S24,C,27,Sophomore,No,STEM,3.88,5.1,0.668,13.1,2,2,5.2,5.0,75.4,C,Pass
STU0124,S24,C,29,Sophomore,No,Non-STEM,1.92,14.3,0.702,13.2,4,1,8.7,8.0,62.5,D,Pass
STU0125,F23,A,21,Sophomore,No,Non-STEM,3.31,12.3,0.715,0.0,1,4,8.8,5.0,93.0,A,Pass
STU0126,S25,C,21,Junior,No,Non-STEM,4.0,18.0,0.711,0.0,0,1,7.9,2.0,93.0,A,Pass
STU0127,S25,A,20,Sophomore,Yes,Non-STEM,2.21,9.4,0.594,2.6,4,2,5.8,3.0,71.6,C,Pass
STU0128,F23,A,25,Sophomore,No,Non-STEM,2.5,22.3,0.955,2.8,4,0,6.4,6.0,84.1,B,Pass
STU0129,S24,C,28,Senior,Yes,Non-STEM,2.97,9.4,0.77,0.3,2,4,7.0,5.0,80.5,B,Pass
STU0130,S24,C,24,Junior,Yes,Non-STEM,2.55,5.1,0.647,0.0,4,0,5.9,4.0,69.3,D,Pass
STU0131,S25,A,25,Sophomore,No,Non-STEM,1.81,5.8,0.527,2.8,5,1,9.0,4.0,73.4,C,Pass
STU0132,F24,A,27,Sophomore,Yes,STEM,2.95,11.5,0.897,3.1,3,2,7.0,6.0,68.6,D,Pass
STU0133,S24,A,30,Freshman,No,Non-STEM,2.16,5.4,0.719,0.0,4,3,4.0,5.0,70.6,C,Pass
STU0134,F23,A,24,Sophomore,No,Non-STEM,3.23,22.2,0.812,0.0,4,2,7.2,,85.9,B,Pass
STU0135,F23,A,21,Senior,No,Non-STEM,2.26,10.9,0.654,12.2,3,1,6.3,10.0,76.3,C,Pass
STU0136,F23,C,25,Sophomore,Yes,Non-STEM,3.98,8.4,0.856,0.9,0,0,6.7,1.0,90.4,A,Pass
STU0137,S25,B,27,Senior,Yes,STEM,2.35,8.9,0.823,1.7,3,3,6.3,5.0,70.9,C,Pass
STU0138,S25,C,22,Sophomore,No,Non-STEM,2.67,6.9,0.489,12.4,2,5,7.8,6.0,71.5,C,Pass
STU0139,S25,C,18,Senior,No,STEM,3.47,2.0,0.891,0.0,0,3,8.3,7.0,82.3,B,Pass
STU0140,S25,B,21,Sophomore,Yes,Non-STEM,2.04,5.8,0.916,0.0,4,2,7.2,3.0,69.5,D,Pass
STU0141,F23,C,19,Freshman,Yes,Non-STEM,3.06,20.5,0.784,9.8,1,4,6.4,9.0,89.0,B,Pass
STU0142,F23,B,18,Sophomore,No,Non-STEM,3.81,9.6,0.737,3.5,0,2,6.7,5.0,80.9,B,Pass
STU0143,S25,A,21,Freshman,Yes,Non-STEM,1.77,15.6,0.904,12.6,6,2,6.8,7.0,69.6,D,Pass
STU0144,S25,B,22,Freshman,No,Non-STEM,3.03,15.9,0.835,1.5,2,2,,5.0,84.4,B,Pass
STU0145,F23,B,24,Junior,No,STEM,3.08,8.0,0.8,0.0,1,2,7.6,4.0,75.0,C,Pass
STU0146,S25,C,25,Freshman,No,Non-STEM,3.45,12.4,0.753,6.9,1,3,7.4,7.0,76.7,C,Pass
STU0147,S25,C,21,Junior,No,Non-STEM,2.03,2.2,0.815,0.0,5,2,8.8,4.0,70.5,C,Pass
STU0148,S25,B,24,Freshman,Yes,Non-STEM,1.98,19.6,0.943,0.0,3,1,8.4,7.0,75.9,C,Pass
STU0149,S25,C,24,Freshman,No,STEM,3.27,18.6,0.857,0.0,2,1,5.9,4.0,73.5,C,Pass
STU0150,S24,A,24,Senior,No,Non-STEM,3.11,11.3,0.643,0.0,2,0,7.9,4.0,81.8,B,Pass
STU0151,S25,C,20,Sophomore,No,STEM,3.08,9.8,0.793,0.0,3,2,,9.0,68.8,D,Pass
STU0152,F23,B,25,Sophomore,No,Non-STEM,3.14,8.1,0.817,0.0,2,1,7.7,5.0,81.4,B,Pass
STU0153,F23,A,23,Sophomore,No,STEM,2.42,16.7,0.798,0.0,5,0,6.1,6.0,81.6,B,Pass
STU0154,F23,B,22,Sophomore,Yes,Non-STEM,3.06,13.3,0.769,0.0,1,2,5.5,7.0,84.8,B,Pass
STU0155,F23,B,20,Senior,No,Non-STEM,3.11,6.4,0.786,7.8,1,2,7.2,3.0,79.0,C,Pass
STU0156,S25,A,21,Junior,No,STEM,2.4,3.4,0.531,0.0,3,3,4.0,8.0,71.1,C,Pass
STU0157,S24,C,26,Sophomore,No,Non-STEM,4.0,2.9,0.82,0.0,0,2,4.5,1.0,75.2,C,Pass
STU0158,F24,A,24,Senior,No,Non-STEM,3.23,16.6,0.697,5.5,1,4,,4.0,87.0,B,Pass
STU0159,F24,C,21,Freshman,No,STEM,2.07,8.0,0.602,5.6,3,4,6.9,6.0,72.2,C,Pass
STU0160,F24,C,23,Sophomore,No,Non-STEM,3.36,11.2,0.896,5.8,2,3,6.3,6.0,73.2,C,Pass
STU0161,F24,A,24,Senior,No,STEM,2.22,8.7,0.906,0.0,4,2,4.7,6.0,81.4,B,Pass
STU0162,F23,B,21,Sophomore,Yes,STEM,3.45,2.9,0.749,12.6,1,1,5.7,5.0,69.3,D,Pass
STU0163,S25,C,25,Junior,No,STEM,3.71,2.2,0.958,0.0,2,5,7.3,,72.7,C,Pass
STU0164,S25,B,19,Junior,No,Non-STEM,2.33,6.1,0.931,0.0,3,1,7.6,4.0,72.8,C,Pass
STU0165,F24,B,25,Junior,No,Non-STEM,3.57,6.4,0.852,0.0,1,1,6.8,2.0,84.2,B,Pass
STU0166,F24,B,25,Senior,No,Non-STEM,3.19,6.4,0.717,0.5,2,2,8.3,6.0,79.6,C,Pass
STU0167,S24,B,23,Freshman,No,Non-STEM,3.48,6.6,0.808,0.0,0,0,7.3,5.0,73.6,C,Pass
STU0168,S24,C,22,Freshman,No,STEM,4.0,26.2,0.726,0.0,0,5,,6.0,92.0,A,Pass
STU0169,S24,A,20,Sophomore,No,Non-STEM,2.73,15.4,0.872,0.0,2,2,6.4,4.0,77.9,C,Pass
STU0170,F23,B,23,Junior,Yes,STEM,2.37,9.6,0.708,8.2,7,2,5.0,7.0,60.0,D,Pass
STU0171,S25,A,24,Freshman,Yes,Non-STEM,2.28,7.8,0.759,13.2,4,2,6.7,6.0,64.0,D,Pass
STU0172,F23,C,25,Freshman,No,STEM,2.33,8.0,0.85,0.0,2,2,8.2,,64.2,D,Pass
STU0173,F23,C,20,Freshman,No,STEM,2.85,13.0,0.951,24.6,4,0,7.7,9.0,72.0,C,Pass
STU0174,S25,A,21,Senior,Yes,Non-STEM,3.14,7.8,0.676,7.1,3,2,8.6,6.0,82.0,B,Pass
STU0175,S24,A,21,Junior,Yes,Non-STEM,3.09,14.5,0.601,5.0,2,3,6.4,5.0,71.9,C,Pass
STU0176,S25,A,19,Sophomore,No,STEM,3.48,10.3,0.77,0.0,3,2,8.5,6.0,84.5,B,Pass
STU0177,F24,B,27,Freshman,No,Non-STEM,2.91,26.3,0.83,6.9,2,3,6.5,7.0,77.6,C,Pass
STU0178,S24,B,28,Sophomore,No,STEM,3.92,7.5,0.865,0.0,0,1,8.7,3.0,87.4,B,Pass
STU0179,S25,C,20,Freshman,Yes,Non-STEM,2.71,16.1,0.744,6.2,3,1,6.8,4.0,71.0,C,Pass
STU0180,F23,B,30,Freshman,No,Non-STEM,4.0,3.7,0.917,0.0,0,1,7.7,,77.5,C,Pass
STU0181,S25,A,22,Senior,No,STEM,3.34,5.2,0.743,0.0,2,1,8.7,7.0,82.0,B,Pass
STU0182,S24,C,25,Senior,No,STEM,2.3,24.3,0.644,0.0,4,3,6.5,7.0,72.0,C,Pass
STU0183,F24,B,25,Freshman,No,STEM,2.15,14.1,0.667,11.0,7,3,7.1,5.0,67.5,D,Pass
STU0184,F23,B,18,Freshman,Yes,STEM,3.24,11.3,0.818,0.0,4,1,8.5,3.0,69.8,D,Pass
STU0185,F24,A,23,Freshman,No,STEM,2.74,30.3,0.789,1.4,5,2,6.6,7.0,92.7,A,Pass
STU0186,F24,B,20,Sophomore,Yes,Non-STEM,3.4,7.9,0.9,0.0,3,3,,3.0,83.8,B,Pass
STU0187,F23,C,18,Freshman,Yes,Non-STEM,3.23,16.1,0.628,4.9,5,1,9.6,6.0,77.3,C,Pass
STU0188,S25,B,23,Freshman,No,STEM,2.85,16.8,0.703,10.1,2,1,6.2,5.0,68.5,D,Pass
STU0189,S25,A,25,Freshman,No,Non-STEM,2.31,21.2,0.815,23.7,3,5,7.0,10.0,79.5,C,Pass
STU0190,F24,B,21,Junior,No,Non-STEM,1.84,3.3,0.905,1.0,4,2,8.3,,61.9,D,Pass
STU0191,S25,C,23,Junior,No,Non-STEM,2.59,7.9,0.87,0.9,5,5,6.0,7.0,66.9,D,Pass
STU0192,S24,A,28,Sophomore,No,Non-STEM,3.5,10.2,0.937,0.0,1,1,5.5,5.0,95.5,A,Pass
STU0193,F24,B,22,Sophomore,No,Non-STEM,3.05,21.0,0.678,2.9,3,3,7.1,5.0,78.3,C,Pass
STU0194,F24,C,19,Senior,Yes,Non-STEM,2.03,11.0,0.933,0.0,3,1,4.5,3.0,72.6,C,Pass
STU0195,F24,A,26,Senior,No,STEM,3.02,16.8,0.79,9.4,2,1,6.4,2.0,85.2,B,Pass
STU0196,S24,C,21,Freshman,Yes,STEM,3.17,3.1,0.823,21.5,3,2,7.1,6.0,68.4,D,Pass
STU0197,F24,B,21,Freshman,No,Non-STEM,2.28,6.7,0.702,0.0,3,1,6.4,6.0,69.1,D,Pass
STU0198,S25,B,22,Sophomore,Yes,STEM,3.01,18.6,0.966,0.0,2,1,4.8,3.0,85.6,B,Pass
STU0199,S25,B,21,Freshman,No,Non-STEM,2.94,7.3,0.704,9.8,2,1,,4.0,74.0,C,Pass
STU0200,S25,A,19,Sophomore,No,STEM,2.1,8.3,0.763,35.1,3,0,6.9,10.0,60.8,D,Pass
STU0201,S25,B,23,Sophomore,No,Non-STEM,3.15,20.8,0.746,6.4,3,3,8.7,6.0,90.1,A,Pass
STU0202,F24,A,23,Sophomore,No,STEM,3.29,4.3,0.849,4.8,1,2,6.5,5.0,70.7,C,Pass
STU0203,S24,B,22,Freshman,No,Non-STEM,3.66,5.2,0.638,11.2,1,0,5.7,6.0,78.9,C,Pass
STU0204,F23,A,23,Sophomore,No,Non-STEM,3.64,2.8,0.93,32.0,0,1,7.1,5.0,78.1,C,Pass
STU0205,S25,A,25,Senior,No,STEM,1.94,21.3,0.787,0.0,5,0,6.5,6.0,80.8,B,Pass
STU0206,F23,C,23,Freshman,No,STEM,2.24,15.3,0.971,0.0,3,2,5.3,,77.0,C,Pass
STU0207,F23,B,20,Junior,Yes,Non-STEM,3.26,15.0,0.823,0.3,2,0,8.7,,81.9,B,Pass
STU0208,F24,C,20,Freshman,Yes,STEM,3.26,6.5,0.856,1.4,3,3,6.0,5.0,64.6,D,Pass
STU0209,S25,A,30,Freshman,Yes,STEM,3.26,2.7,0.727,11.3,1,0,4.4,9.0,70.5,C,Pass
STU0210,S25,B,23,Sophomore,Yes,STEM,4.0,2.0,0.921,0.0,3,1,8.5,2.0,77.5,C,Pass
STU0211,S25,A,22,Freshman,No,Non-STEM,3.3,18.7,0.967,0.0,2,4,6.1,6.0,83.9,B,Pass
STU0212,F23,C,24,Freshman,Yes,Non-STEM,3.69,11.8,0.369,0.0,1,3,6.0,7.0,68.7,D,Pass
STU0213,S25,C,21,Freshman,Yes,Non-STEM,3.57,13.2,0.842,0.0,0,0,4.5,4.0,78.0,C,Pass
STU0214,S25,A,26,Sophomore,Yes,Non-STEM,3.36,9.9,0.78,0.0,5,3,9.1,6.0,78.9,C,Pass
STU0215,S24,C,21,Junior,No,Non-STEM,2.68,4.7,0.734,5.5,4,2,5.1,4.0,54.6,F,Fail
STU0216,F24,A,18,Freshman,No,Non-STEM,3.43,6.8,0.772,0.0,1,3,6.9,3.0,84.6,B,Pass
STU0217,S25,B,22,Junior,No,Non-STEM,2.36,3.8,0.789,9.9,3,2,8.0,7.0,76.4,C,Pass
